semestre,código,disciplina,carga horária,créditos,natureza,pré-requisito
semestre: 1,SMD0088,AUTORAÇÃO MULTIMÍDIA I,64,4,OBRIGATÓRIA,sem pré-requisito
semestre: 1,SMD0089,DESENHO I,64,4,OBRIGATÓRIA,sem pré-requisito
semestre: 1,SMD0091,HISTÓRIA DO DESIGN,64,4,OBRIGATÓRIA,sem pré-requisito
semestre: 1,SMD0094,INTRODUÇÃO A SISTEMAS E MÍDIAS DIGITAIS,64,4,OBRIGATÓRIA,sem pré-requisito
semestre: 1,SMD0095,PROGRAMAÇÃO I,64,4,OBRIGATÓRIA,sem pré-requisito
semestre: 2,SMD0107,COGNIÇÃO E TECNOLOGIAS DIGITAIS,64,4,OBRIGATÓRIA,sem pré-requisito
semestre: 2,SMD0105,COMUNICAÇÃO VISUAL I,64,4,OBRIGATÓRIA,SMD0088 – AUTORAÇÃO MULTIMÍDIA I
semestre: 2,SMD0106,MATEMÁTICA APLICADA À MULTIMÍDIA I,64,4,OBRIGATÓRIA,SMD0095 – PROGRAMAÇÃO I
semestre: 2,SMD0093,NARRATIVAS MULTIMÍDIA,64,4,OBRIGATÓRIA,sem pré-requisito
semestre: 2,SMD0096,PROGRAMAÇÃO II,64,4,OBRIGATÓRIA,SMD0095 – PROGRAMAÇÃO I
semestre: 3,SMD0097,AUTORAÇÃO MULTIMÍDIA II,64,4,OBRIGATÓRIA,SMD0088 – AUTORAÇÃO MULTIMÍDIA I
semestre: 3,SMD0015,DESIGN DE INTERFACES GRÁFICAS,64,4,OBRIGATÓRIA,SMD0105 – COMUNICAÇÃO VISUAL I
semestre: 3,SMD0108,INTERAÇÃO HUMANO-COMPUTADOR I,64,4,OBRIGATÓRIA,sem pré-requisito
semestre: 3,SMD0109,INTRODUÇÃO À CIBERCULTURA,64,4,OBRIGATÓRIA,sem pré-requisito
semestre: 3,SMD0092,PROJETO INTEGRADO I,64,4,OBRIGATÓRIA,SMD0105 – COMUNICAÇÃO VISUAL I | SMD0096 – PROGRAMAÇÃO II
semestre: 4,SMD0102,METODOLOGIA DE PESQUISA CIENTÍFICA,64,4,OBRIGATÓRIA,sem pré-requisito
semestre: 6,SMD0025,ÉTICA E POLÍTICA AUTORAL,64,4,OBRIGATÓRIA,sem pré-requisito
semestre: 6,SMD0100,GESTÃO DE PROJETOS MULTIMÍDIA,64,4,OBRIGATÓRIA,SMD0092 – PROJETO INTEGRADO I
semestre: 7,SMD0111,PROJETO DE TRABALHO FINAL,64,4,OBRIGATÓRIA,SMD0102 – METODOLOGIA DE PESQUISA CIENTÍFICA
semestre: 7,SMD0101,PROJETO INTEGRADO II,64,4,OBRIGATÓRIA,SMD0102 – METODOLOGIA DE PESQUISA CIENTÍFICA
semestre: 8,SMDG0001,ATIVIDADES COMPLEMENTARES,192,12,OBRIGATÓRIA,sem pré-requisito
semestre: 8,SMD0103,SEMINÁRIOS EM MULTIMÍDIA,64,4,OBRIGATÓRIA,sem pré-requisito
semestre: 8,SMD0077,TRABALHO DE CONCLUSÃO DE CURSO,128,8,OBRIGATÓRIA,SMD0111 – PROJETO DE TRABALHO FINAL
semestre: 4 (Eletiva),SMD0030,ANÁLISE E PROJETO DE SISTEMAS,64,4,ELETIVA,SMD0096 – PROGRAMAÇÃO II
semestre: 4 (Eletiva),SMD0098,DESENHO II,64,4,ELETIVA,SMD0089 – DESENHO I
semestre: 4 (Eletiva),SMD0033,ESTRUTURA DE DADOS,64,4,ELETIVA,SMD0096 – PROGRAMAÇÃO II
semestre: 4 (Eletiva),SMD0086,FOTOGRAFIA DIGITAL,64,4,ELETIVA,SMD0105 – COMUNICAÇÃO VISUAL I
semestre: 4 (Eletiva),SMD0037,REDES DE COMPUTADORES,64,4,ELETIVA,SMD0096 – PROGRAMAÇÃO II
semestre: 4 (Eletiva),SMD0090,SEMIÓTICA APLICADA,64,4,ELETIVA,SMD0105 – COMUNICAÇÃO VISUAL I
semestre: 5 (Eletiva),SMD0099,BANCO DE DADOS I,64,4,ELETIVA,SMD0096 – PROGRAMAÇÃO II
semestre: 5 (Eletiva),SMD0110,COMUNICAÇÃO VISUAL II,64,4,ELETIVA,SMD0105 – COMUNICAÇÃO VISUAL I
semestre: 5 (Eletiva),SMD0032,DESIGN DE SOM,64,4,ELETIVA,SMD0093 – NARRATIVAS MULTIMÍDIA
semestre: 5 (Eletiva),SMD0055,ENGENHARIA DE SOFTWARE,64,4,ELETIVA,SMD0030 – ANÁLISE E PROJETO DE SISTEMAS
semestre: 11,ED0115,ADMINISTRAÇÃO MERCADOLÓGICA I,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0038,ÁLGEBRA COMPUTACIONAL PARA PROGRAMAÇÃO,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0029,AMBIENTES VIRTUAIS DE APRENDIZAGEM,64,4,OPTATIVA,SMD0095 – PROGRAMAÇÃO I
semestre: 11,SMD0121,ANÁLISE DE DESEMPENHO,64,4,OPTATIVA,SMD0102 – METODOLOGIA DE PESQUISA CIENTÍFICA
semestre: 11,SMD0066,AUTORACAO DE MÍDIA DE ARMAZENAMENTO LOCAL,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0058,BANCO DE DADOS APLICADO À MULTIMÍDIA,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0076,CIBERCULTURA E EDUCAÇÃO: NOVAS PRÁTICAS,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0114,COMPUTAÇÃO FÍSICA,64,4,OPTATIVA,SMD0095 – PROGRAMAÇÃO I
semestre: 11,SMD0080,COMPUTAÇÃO GRÁFICA,64,4,OPTATIVA,SMD0035 – MATEMÁTICA E FÍSICA PARA JOGOS
semestre: 11,SMD0123,COMPUTAÇÃO MÓVEL E UBÍQUA,64,4,OPTATIVA,SMD0122 – PROGRAMAÇÃO PARA DISPOSITIVOS MÓVEIS
semestre: 11,SMD0031,COMUNICAÇÃO EM NOVAS MÍDIAS,64,4,OPTATIVA,SMD0093 – NARRATIVAS MULTIMÍDIA
semestre: 11,SMD0057,CONCEPÇÃO DE CENÁRIOS E DE PERSONAGENS,64,4,OPTATIVA,SMD0098 – DESENHO II
semestre: 11,SMD0039,CULTURA DE JOGOS,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0065,DESENVOLVIMENTO DE APLICACOES DISTRIBUÍDAS,64,4,OPTATIVA,SMD0050 – SISTEMAS DISTRIBUÍDOS
semestre: 11,SMD0078,DESENVOLVIMENTO DE JOGOS CASUAIS,64,4,OPTATIVA,SMD0105 – COMUNICAÇÃO VISUAL I | SMD0096 – PROGRAMAÇÃO II
semestre: 11,SMD0075,DESENVOLVIMENTO DE MATERIAL DIDÁTICO EXPERIMENTAL E TREINAMENTO DE HABILIDADES,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0079,DESENVOLVIMENTO DE MOTORES GRÁFICOS,64,4,OPTATIVA,SMD0080 – COMPUTAÇÃO GRÁFICA
semestre: 11,SMD0127,DESIGN DE IDENTIDADE DE MARCA,64,4,OPTATIVA,SMD0105 – COMUNICAÇÃO VISUAL I
semestre: 11,SMD0023,DESIGN DE JOGOS DIGITAIS,64,4,OPTATIVA,SMD0093 – NARRATIVAS MULTIMÍDIA
semestre: 11,SMD0130,DESIGN EMOCIONAL,64,4,OPTATIVA,SMD0108 – INTERAÇÃO HUMANO-COMPUTADOR I
semestre: 11,SMD0024,DESIGN INSTRUCIONAL,64,4,OPTATIVA,SMD0013 – FUNDAMENTOS DE MATERIAL DIDATICO PARA ED A DISTÂNCIA
semestre: 11,PRG0005,DIFERENÇA E ENFRENTAMENTO PROFISSIONAL NAS DESIGUALDADES SOCIAIS,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0056,DIREÇÃO DE ARTE PARA MULTIMÍDIA,64,4,OPTATIVA,SMD0088 – AUTORAÇÃO MULTIMÍDIA I
semestre: 11,SMD0027,EDIÇÃO AUDIOVISUAL,64,4,OPTATIVA,SMD0016 – LINGUAGEM AUDIOVISUAL
semestre: 11,PRG0003,EDUCAÇÃO AMBIENTAL,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0008,"EDUCAÇÃO, COGNICAO E TECNOLOGIAS DIGITAIS",64,4,OPTATIVA,sem pré-requisito
semestre: 11,PRG0004,EDUCAÇÃO EM DIREITOS HUMANOS,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0083,EDUCOMUNICAÇÃO,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0040,EXPERIMENTOS EM MULTIMÍDIA I,64,4,OPTATIVA,SMD0088 – AUTORAÇÃO MULTIMÍDIA I | SMD0095 – PROGRAMAÇÃO I
semestre: 11,SMD0084,EXPERIMENTOS EM TIPOGRAFIA DIGITAL,64,4,OPTATIVA,SMD0105 – COMUNICAÇÃO VISUAL I
semestre: 11,SMD0034,FERRAMENTAS DE MODELAGEM TRIDIMENSIONAL I,64,4,OPTATIVA,SMD0088 – AUTORAÇÃO MULTIMÍDIA I
semestre: 11,SMD0131,FERRAMENTAS DE MODELAGEM TRIDIMENSIONAL II,64,4,OPTATIVA,SMD0034 – FERRAMENTAS DE MODELAGEM TRIDIMENSIONAL I
semestre: 11,SMD0041,FILOSOFIA DA TECNOLOGIA,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0087,FILOSOFIA DA TECNOLOGIA,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0085,FRAMEWORKS DE SOFTWARE,64,4,OPTATIVA,SMD0055 – ENGENHARIA DE SOFTWARE
semestre: 11,SMD0013,FUNDAMENTOS DE MATERIAL DIDATICO PARA ED A DISTÂNCIA,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0042,GERÊNCIA DE PROJETOS DE SOFTWARE,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0021,GESTÃO DE NEGOCIOS EM MULTIMÍDIA,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0120,IDENTIDADE SONORA DE MARCAS,64,4,OPTATIVA,SMD0032 – DESIGN DE SOM
semestre: 11,SMD0112,INSTALAÇÕES MULTIMÍDIA,64,4,OPTATIVA,SMD0105 – COMUNICAÇÃO VISUAL I | SMD0106 – MATEMÁTICA APLICADA À MULTIMÍDIA I
semestre: 11,SMD0054,INTELIGÊNCIA COMPUTACIONAL APLICADA A JOGOS I,64,4,OPTATIVA,SMD0096 – PROGRAMAÇÃO II
semestre: 11,SMD0081,INTELIGÊNCIA COMPUTACIONAL APLICADA A JOGOS II,64,4,OPTATIVA,SMD0054 – INTELIGÊNCIA COMPUTACIONAL APLICADA A JOGOS I
semestre: 11,SMD0117,INTERAÇÃO HUMANO-COMPUTADOR II,64,4,OPTATIVA,SMD0108 – INTERAÇÃO HUMANO-COMPUTADOR I
semestre: 11,SMD0044,INTRODUÇÃO À COMPUTAÇÃO MÓVEL E UBÍQUA,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0132,INTRODUÇÃO À TUTORIA PARA EDUCAÇÃO ON-LINE,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0074,JOGOS DISTRIBUÍDOS,64,4,OPTATIVA,SMD0053 – PROGRAMAÇÃO PARA JOGOS I | SMD0050 – SISTEMAS DISTRIBUÍDOS
semestre: 11,SMD0073,JOGOS MULTIPLATAFORMA,64,4,OPTATIVA,SMD0053 – PROGRAMAÇÃO PARA JOGOS I
semestre: 11,SMD0082,JOGOS PARA CONSOLE,64,4,OPTATIVA,SMD0073 – JOGOS MULTIPLATAFORMA
semestre: 11,SMD0113,LABORATÓRIO DE CRIATIVIDADE,64,4,OPTATIVA,SMD0105 – COMUNICAÇÃO VISUAL I
semestre: 11,SMD0133,LABORATÓRIO DE COMPUTAÇÃO GRÁFICA,64,4,OPTATIVA,SMD0080 – COMPUTAÇÃO GRÁFICA
semestre: 11,SMD0028,LABORATÓRIO DE PROGRAMAÇÃO,64,4,OPTATIVA,SMD0096 – PROGRAMAÇÃO II
semestre: 11,HLL0077,LÍNGUA BRASILEIRA DE SINAIS – LIBRAS,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0016,LINGUAGEM AUDIOVISUAL,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0045,LINGUAGEM DE PROGRAMAÇÃO SCRIPT,64,4,OPTATIVA,SMD0096 – PROGRAMAÇÃO II
semestre: 11,SMD0035,MATEMÁTICA E FÍSICA PARA JOGOS,64,4,OPTATIVA,SMD0096 – PROGRAMAÇÃO II
semestre: 11,SMD0115,MÉTODOS E TÉCNICAS NA PESQUISA TRANSDISCIPLINAR,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0059,MÍDIAS DIGITAIS E MATEMÁTICA,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0046,MITOLOGIAS UNIVERSAIS,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0019,MITOS E ARQUETIPOS,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0047,PROCESSAMENTO DIGITAL DE AUDIO,64,4,OPTATIVA,SMD0095 – PROGRAMAÇÃO I
semestre: 11,SMD0036,PRODUÇÃO AUDIOVISUAL,64,4,OPTATIVA,SMD0027 – EDIÇÃO AUDIOVISUAL
semestre: 11,SMD0124,PRODUÇÃO AUDIOVISUAL PARA CRIANÇAS E ADOLESCENTES,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0017,PROGRAMAÇÃO ORIENTADA A OBJETOS,64,4,OPTATIVA,SMD0096 – PROGRAMAÇÃO II
semestre: 11,SMD0122,PROGRAMAÇÃO PARA DISPOSITIVOS MÓVEIS,64,4,OPTATIVA,SMD0096 – PROGRAMAÇÃO II | SMD0037 – REDES DE COMPUTADORES
semestre: 11,SMD0053,PROGRAMAÇÃO PARA JOGOS I,64,4,OPTATIVA,SMD0096 – PROGRAMAÇÃO II
semestre: 11,SMD0061,PROGRAMAÇÃO PARA JOGOS II,64,4,OPTATIVA,SMD0053 – PROGRAMAÇÃO PARA JOGOS I
semestre: 11,SMD0052,PROGRAMAÇÃO PARA WEB I,64,4,OPTATIVA,SMD0097 – AUTORAÇÃO MULTIMÍDIA II | SMD0099 – BANCO DE DADOS I
semestre: 11,SMD0069,PROGRAMAÇÃO PARA WEB II,64,4,OPTATIVA,SMD0052 – PROGRAMAÇÃO PARA WEB I
semestre: 11,SMD0125,PROJETOS PARA EDUCAÇÃO ON-LINE,64,4,OPTATIVA,SMD0107 – COGNIÇÃO E TECNOLOGIAS DIGITAIS | SMD0092 – PROJETO INTEGRADO I
semestre: 11,SMD0020,PROTOTIPAÇAO DE JOGOS TRIDIMENSIONAIS,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0051,REDAÇÃO PARA MÍDIAS DIGITAIS,64,4,OPTATIVA,SMD0093 – NARRATIVAS MULTIMÍDIA | SMD0090 – SEMIÓTICA APLICADA
semestre: 11,PRG0002,RELAÇOES ETNICO-RACIAIS E AFRICANIDADES,64,4,OPTATIVA,sem pré-requisito
semestre: 11,RM0964,RENDERIZAÇÃO EM TEMPO REAL,64,4,OPTATIVA,SMD0080 – COMPUTAÇÃO GRÁFICA
semestre: 11,SMD0050,SISTEMAS DISTRIBUÍDOS,64,4,OPTATIVA,SMD0096 – PROGRAMAÇÃO II | SMD0037 – REDES DE COMPUTADORES
semestre: 11,SMD0070,SISTEMAS EMBARCADOS,64,4,OPTATIVA,SMD0096 – PROGRAMAÇÃO II
semestre: 11,SMD0006,"SOCIEDADE, CULTURA E TECNOLOGIA",64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0049,TÉCNICAS DE ANIMAÇÃO ANALÓGICA,64,4,OPTATIVA,SMD0089 – DESENHO I
semestre: 11,SMD0072,TÉCNICAS DE ANIMACAO DIGITAL I,64,4,OPTATIVA,SMD0049 – TÉCNICAS DE ANIMAÇÃO ANALÓGICA
semestre: 11,SMD0129,TÉCNICAS DE ANIMAÇÃO 2D,64,4,OPTATIVA,SMD0098 – DESENHO II
semestre: 11,SMD0128,TÉCNICAS DE ANIMAÇÃO 3D I,64,4,OPTATIVA,SMD0049 – TÉCNICAS DE ANIMAÇÃO ANALÓGICA
semestre: 11,SMD0126,TÉCNICAS DE ANIMAÇÃO 3D II,64,4,OPTATIVA,SMD0128 – TÉCNICAS DE ANIMAÇÃO 3D I
semestre: 11,SMD0116,TECNODOCÊNCIA E ANIMAÇÃO,64,4,OPTATIVA,sem pré-requisito
semestre: 11,SMD0118,TEORIA E CRÍTICA DO DESIGN,64,4,OPTATIVA,SMD0091 – HISTÓRIA DO DESIGN | SMD0105 – COMUNICAÇÃO VISUAL I
semestre: 11,SMD0048,TESTE DE SOFTWARE APLICADO,64,4,OPTATIVA,SMD0095 – PROGRAMAÇÃO I
semestre: 11,SMD0119,TÓPICOS AVANÇADOS EM DESIGN DE INTERFACES GRÁFICAS,64,4,OPTATIVA,SMD0015 – DESIGN DE INTERFACES GRÁFICAS
semestre: 11,SMD0071,VIDEOGRAFISMO,64,4,OPTATIVA,SMD0034 – FERRAMENTAS DE MODELAGEM TRIDIMENSIONAL I | SMD0027 – EDIÇÃO AUDIOVISUAL
